nose_depth,G1,G2,G3
0.0,3.590791804560627e-05,0.0022820165489815932,0.0003218508093105467
0.025,5.1019269083763525e-05,0.009301964101276785,0.0006065416915984375
0.05,7.122959202949561e-05,0.022880322727409558,0.0010260998120862133
0.075,9.756875716893101e-05,0.04305786511145967,0.0015874448190552348
0.1,0.0001312439488575236,0.0696007988643226,0.002296948016049613
0.125,0.0001736674869809245,0.10198659465646456,0.0031603448430599424
0.15,0.00022648899954975363,0.13942136497016394,0.004182688371012945
0.175,0.0002916326539472089,0.18089360752081102,0.005368360588611406
0.2,0.00037134027627325184,0.22525897973295556,0.006721158182886651
0.225,0.00046822133261127544,0.27133864180341405,0.008244467013856949
0.25,0.0005853109173186603,0.3179950402596998,0.009941533963727128
